dep,jour,taux_incid_glissant
Rhône,2021-01-17,205.32490854459715
Rhône,2021-01-18,212.04114387082228
Rhône,2021-01-19,214.75962007429433
Rhône,2021-01-20,216.891758273096
Rhône,2021-01-21,219.77014484147816
Rhône,2021-01-22,222.70183486483046
Rhône,2021-01-23,222.64853140986037
Rhône,2021-01-24,222.5419244999203
Rhône,2021-01-25,226.37977325776325
Rhône,2021-01-26,224.14102814902154
Rhône,2021-01-27,224.19433160399157
Rhône,2021-01-28,224.19433160399157
Rhône,2021-01-29,221.3692484905794
Rhône,2021-01-30,218.97059301692758
Rhône,2021-01-31,218.91728956195755
Rhône,2021-02-01,217.47809627776644
Rhône,2021-02-02,219.93005520638832
Rhône,2021-02-03,222.96835213968066
Rhône,2021-02-04,222.3820141350102
Rhône,2021-02-05,222.96835213968066
Rhône,2021-02-06,227.97887690686449
Rhône,2021-02-07,227.17932508231385
Rhône,2021-02-08,220.78291048590899
Rhône,2021-02-09,214.86622698423443
Rhône,2021-02-10,205.6447292744174
Rhône,2021-02-11,202.3932185212449
Rhône,2021-02-12,196.21001774472015
Rhône,2021-02-13,190.71976188280595
Rhône,2021-02-14,191.46601025238652
Rhône,2021-02-15,187.36164421969337
Rhône,2021-02-16,188.26780295418408
Rhône,2021-02-17,194.29109336579867
Rhône,2021-02-18,196.5298384745404
Rhône,2021-02-19,202.33991506627487
Rhône,2021-02-20,206.60419146387812
Rhône,2021-02-21,207.3504398334587
Rhône,2021-02-22,213.58694406495346
Rhône,2021-02-23,217.7446135526166
Rhône,2021-02-24,218.97059301692758
Rhône,2021-02-25,220.67630357596886
Rhône,2021-02-26,218.224344647347
Rhône,2021-02-27,217.85122046255674
Rhône,2021-02-28,217.63800664267654
Rhône,2021-03-01,215.55917189884497
Rhône,2021-03-02,211.66801968603198
Rhône,2021-03-03,208.57641929776963
Rhône,2021-03-04,210.4953436766911
Rhône,2021-03-05,210.60195058663118
Rhône,2021-03-06,213.58694406495346
Rhône,2021-03-07,213.85346133980366
Rhône,2021-03-08,217.4247928227964
Rhône,2021-03-09,222.64853140986037
Rhône,2021-03-10,232.4563671243479
Rhône,2021-03-11,240.34527845991394
Rhône,2021-03-12,254.1508732971545
Rhône,2021-03-13,260.76050171343957
Rhône,2021-03-14,263.2657640970315
Rhône,2021-03-15,281.01581460205506
Rhône,2021-03-16,296.9002441831272
Rhône,2021-03-17,311.6653012098285
Rhône,2021-03-18,326.00393059676946
Rhône,2021-03-19,343.27425000706273
Rhône,2021-03-20,355.5873481051421
Rhône,2021-03-21,357.8793966688539
Rhône,2021-03-22,382.9853239597431
Rhône,2021-03-23,404.3600094027294
Rhône,2021-03-24,424.88183956619514
Rhône,2021-03-25,444.7640282700204
Rhône,2021-03-26,457.50355400786015
Rhône,2021-03-27,463.10041677971446
Rhône,2021-03-28,462.7272925949241
Rhône,2021-03-29,482.7160882086894
Rhône,2021-03-30,493.2701722927575
Rhône,2021-03-31,494.9758828517988
Rhône,2021-04-01,498.70712469970164
Rhône,2021-04-02,501.745421632994
Rhône,2021-04-03,504.62380820137616
Rhône,2021-04-04,503.98416674173575
Rhône,2021-04-05,413.5815071125465
Rhône,2021-04-06,431.9711990772106
Rhône,2021-04-07,430.0522746982892
Rhône,2021-04-08,418.3255146048802
Rhône,2021-04-09,406.438844146561
Rhône,2021-04-10,398.76314663087516
Rhône,2021-04-11,398.81645008584525
Rhône,2021-04-12,467.4179966322877
Rhône,2021-04-13,426.53424667026644
Rhône,2021-04-14,408.46437543542254
Rhône,2021-04-15,395.7781531525529
Rhône,2021-04-16,387.35620726728644
Rhône,2021-04-17,383.9447861492038
Rhône,2021-04-18,383.6782688743536
Rhône,2021-04-19,370.0325844020232
Rhône,2021-04-20,360.9176936021462
Rhône,2021-04-21,355.8538653799923
Rhône,2021-04-22,346.5790642152052
Rhône,2021-04-23,341.2487187182012
Rhône,2021-04-24,335.33203521652666
Rhône,2021-04-25,333.0932901077849
Rhône,2021-04-26,323.8184889429978
Rhône,2021-04-27,319.1810883606043
Rhône,2021-04-28,306.49486607773457
Rhône,2021-04-29,297.91300982755797
Rhône,2021-04-30,283.6809873505571
Rhône,2021-05-01,259.96094988888893
Rhône,2021-05-02,258.8415773345181
Rhône,2021-05-03,240.82500955464428
Rhône,2021-05-04,223.8212074192013
Rhône,2021-05-05,213.10721297022312
Rhône,2021-05-06,201.4870597867542
Rhône,2021-05-07,194.1844864558586
Rhône,2021-05-08,193.1184173564578
Rhône,2021-05-09,192.95850699154767
Rhône,2021-05-10,182.61763672735975
Rhône,2021-05-11,177.0207739555055
Rhône,2021-05-12,172.2234630082018
Rhône,2021-05-13,148.2902117266535
Rhône,2021-05-14,142.00040404018867
Rhône,2021-05-15,148.5567290015037
Rhône,2021-05-16,148.23690827168346
Rhône,2021-05-17,147.9170875418632
Rhône,2021-05-18,148.23690827168346
Rhône,2021-05-19,146.69110807755226
Rhône,2021-05-20,162.57553765862443
Rhône,2021-05-21,155.2196608727588
Rhône,2021-05-22,154.79323323299846
Rhône,2021-05-23,152.98091576401706
Rhône,2021-05-24,119.07991840307112
Rhône,2021-05-25,121.21205660187277
Rhône,2021-05-26,117.90724239373023
Rhône,2021-05-27,116.30813874462902
Rhône,2021-05-28,112.20377271193587
Rhône,2021-05-29,106.87342721493178
Rhône,2021-05-30,106.6069099400816
Rhône,2021-05-31,121.15875314690273
Rhône,2021-06-01,105.43423393074069
Rhône,2021-06-02,96.42595004080378
Rhône,2021-06-03,88.37712834032763
Rhône,2021-06-04,82.7269621135033
Rhône,2021-06-05,80.00848591003123
Rhône,2021-06-06,79.20893408548062
Rhône,2021-06-07,72.38609184931539
Rhône,2021-06-08,68.28172581662226
Rhône,2021-06-09,61.88531122021736
Rhône,2021-06-10,57.6210348226141
Rhône,2021-06-11,53.036937695190595
Rhône,2021-06-12,50.53167531159867
Rhône,2021-06-13,49.41230275722782
Rhône,2021-06-14,42.962584705852876
Rhône,2021-06-15,36.88599083926823
Rhône,2021-06-16,34.96706646034676
Rhône,2021-06-17,31.66225225220423
Rhône,2021-06-18,30.75609351771354
Rhône,2021-06-19,29.31690023352244
Rhône,2021-06-20,29.210293323582356
Rhône,2021-06-21,26.6517274850204
Rhône,2021-06-22,27.024851669810683
Rhône,2021-06-23,25.31914111076938
Rhône,2021-06-24,25.052623835919174
Rhône,2021-06-25,23.187002911967745
Rhône,2021-06-26,22.8671821821475
Rhône,2021-06-27,23.027092547057624
Rhône,2021-06-28,23.933251281548316
Rhône,2021-06-29,23.66673400669811
Rhône,2021-06-30,24.039858191488396
Rhône,2021-07-01,24.3063754663386
Rhône,2021-07-02,24.14646510142848
Rhône,2021-07-03,25.15923074585925
Rhône,2021-07-04,25.745568750529703
Rhône,2021-07-05,26.06538948034995
Rhône,2021-07-06,27.344672399630923
Rhône,2021-07-07,29.743327873282762
Rhône,2021-07-08,32.941535171485214
Rhône,2021-07-09,36.03313555974758
Rhône,2021-07-10,38.11197030357916
Rhône,2021-07-11,38.8049152181897
Rhône,2021-07-12,47.12025419351606
Rhône,2021-07-13,59.806476476385775
Rhône,2021-07-14,57.56773136764405
Rhône,2021-07-15,79.15563063051057
Rhône,2021-07-16,97.06559150044428
Rhône,2021-07-17,109.85842069325406
Rhône,2021-07-18,114.54912473061766
Rhône,2021-07-19,155.9126057873693
Rhône,2021-07-20,186.82860966999297
Rhône,2021-07-21,235.33475369273012
Rhône,2021-07-22,249.7266865346411
Rhône,2021-07-23,272.32735144193845
Rhône,2021-07-24,282.241794066366
Rhône,2021-07-25,284.21402190025753
Rhône,2021-07-26,301.80416204037095
Rhône,2021-07-27,311.2388735700682
Rhône,2021-07-28,313.26440485892977
Rhône,2021-07-29,321.419833469346
Rhône,2021-07-30,319.76742636527473
Rhône,2021-07-31,320.7801920097055
Rhône,2021-08-01,321.10001273952577
Rhône,2021-08-02,312.99788758407954
Rhône,2021-08-03,305.9618315280341
Rhône,2021-08-04,304.52263824384306
Rhône,2021-08-05,300.0984514813297
Rhône,2021-08-06,303.0301415046819
Rhône,2021-08-07,300.2583618462398
Rhône,2021-08-08,301.1645205807305
Rhône,2021-08-09,309.693073375937
Rhône,2021-08-10,314.75690159809085
Rhône,2021-08-11,313.9040463185702
Rhône,2021-08-12,312.4115495794091
Rhône,2021-08-13,311.6653012098285
Rhône,2021-08-14,313.7441359536601
Rhône,2021-08-15,316.8357363419225
Rhône,2021-08-16,307.24111444731517
Rhône,2021-08-17,299.6187203865993
Rhône,2021-08-18,287.8386568382203
Rhône,2021-08-19,281.3356353318753
Rhône,2021-08-20,276.37841401966153
Rhône,2021-08-21,272.64717217175865
Rhône,2021-08-22,268.1163784993052
Rhône,2021-08-23,261.34683971811
Rhône,2021-08-24,250.4729349042217
Rhône,2021-08-25,246.1553550516484
Rhône,2021-08-26,237.78671262135197
Rhône,2021-08-27,224.35424196890168
Rhône,2021-08-28,216.4120271783656
Rhône,2021-08-29,214.91953043920446
Rhône,2021-08-30,198.66197667334205
Rhône,2021-08-31,191.57261716232662
Rhône,2021-09-01,183.73700928173062
Rhône,2021-09-02,182.24451254256948
Rhône,2021-09-03,177.34059468532573
Rhône,2021-09-04,177.1806843204156
Rhône,2021-09-05,175.7414910362245
Rhône,2021-09-06,163.0552687533548
Rhône,2021-09-07,152.2346673944365
Rhône,2021-09-08,143.70611459922998
Rhône,2021-09-09,129.90051976198941
Rhône,2021-09-10,123.23758789073432
Rhône,2021-09-11,116.73456638438934
Rhône,2021-09-12,115.18876619025815
Rhône,2021-09-13,106.02057193541114
Rhône,2021-09-14,98.82460551445564
Rhône,2021-09-15,90.93569417888959
Rhône,2021-09-16,87.36436269589686
Rhône,2021-09-17,84.69918994739481
Rhône,2021-09-18,83.20669320823367
Rhône,2021-09-19,81.60758955913245
Rhône,2021-09-20,76.65036824691866
Rhône,2021-09-21,72.91912639901581
Rhône,2021-09-22,69.93413292069351
Rhône,2021-09-23,68.65485000141254
Rhône,2021-09-24,63.80423559913883
Rhône,2021-09-25,61.938614675187395
Rhône,2021-09-26,61.56549049039712
Rhône,2021-09-27,61.24566976057687
Rhône,2021-09-28,61.778704310277284
Rhône,2021-09-29,61.24566976057687
Rhône,2021-09-30,60.446117936026255
Rhône,2021-10-01,59.22013847171532
Rhône,2021-10-02,58.207372827284544
Rhône,2021-10-03,58.260676282254586
Rhône,2021-10-04,54.58273788932177
Rhône,2021-10-05,52.82372387531043
Rhône,2021-10-06,52.717116965370344
Rhône,2021-10-07,51.54444095602944
Rhône,2021-10-08,50.63828222153876
Rhône,2021-10-09,49.998640761898265
Rhône,2021-10-10,50.47837185662863
Rhône,2021-10-11,49.35899930225777
Rhône,2021-10-12,50.211854581778425
Rhône,2021-10-13,49.89203385195819
Rhône,2021-10-14,54.04970333962137
Rhône,2021-10-15,53.51666878992096
Rhône,2021-10-16,53.783186064771165
Rhône,2021-10-17,52.930330785250504
Rhône,2021-10-18,53.51666878992096
Rhône,2021-10-19,52.983634240220546
Rhône,2021-10-20,53.51666878992096
Rhône,2021-10-21,50.37176494668855
Rhône,2021-10-22,52.61051005543026
Rhône,2021-10-23,52.50390314549018
Rhône,2021-10-24,52.02417205075981
Rhône,2021-10-25,53.729882609801116
Rhône,2021-10-26,52.290689325610025
Rhône,2021-10-27,53.196848060100706
Rhône,2021-10-28,53.62327569986104
Rhône,2021-10-29,54.15631024956144
Rhône,2021-10-30,56.4483588132732
Rhône,2021-10-31,58.207372827284544
Rhône,2021-11-01,49.35899930225777
Rhône,2021-11-02,58.84701428692504
Rhône,2021-11-03,63.1112906845283
Rhône,2021-11-04,65.88307034297043
Rhône,2021-11-05,69.7742225557834
Rhône,2021-11-06,73.66537476859638
Rhône,2021-11-07,74.57153350308707
Rhône,2021-11-08,94.77354293673254
Rhône,2021-11-09,96.31934313086371
Rhône,2021-11-10,104.15495101145972
Rhône,2021-11-11,96.74577077062405
Rhône,2021-11-12,110.87118633768486
Rhône,2021-11-13,115.18876619025815
Rhône,2021-11-14,116.62795947444924
Rhône,2021-11-15,134.96434798414327
Rhône,2021-11-16,157.13858525168027
Rhône,2021-11-17,175.58158067131438
Rhône,2021-11-18,211.2948955012417
Rhône,2021-11-19,228.35200109165476
Rhône,2021-11-20,244.23643067272693
Rhône,2021-11-21,248.50070707033018
Rhône,2021-11-22,285.3333944546284
Rhône,2021-11-23,317.47537780156296
Rhône,2021-11-24,350.52351988298824
Rhône,2021-11-25,387.6227245421366
Rhône,2021-11-26,423.81577046679433
Rhône,2021-11-27,445.61688354954106
Rhône,2021-11-28,449.0283046676236
Rhône,2021-11-29,505.74318075574706
Rhône,2021-11-30,538.364895197412
Rhône,2021-12-01,569.1742921700956
Rhône,2021-12-02,606.8065313789444
Rhône,2021-12-03,644.9718051374936
Rhône,2021-12-04,664.0011385617981
Rhône,2021-12-05,667.625773499761
Rhône,2021-12-06,703.2324814197482
Rhône,2021-12-07,722.5283321189029
Rhône,2021-12-08,742.8369484624885
Rhône,2021-12-09,736.9202649608139
Rhône,2021-12-10,734.7881267620123
Rhône,2021-12-11,729.1912639901581
Rhône,2021-12-12,727.8053741609369
Rhône,2021-12-13,721.302352654592
Rhône,2021-12-14,717.9975384464495
Rhône,2021-12-15,714.5328138733968
Rhône,2021-12-16,724.3939530428544
Rhône,2021-12-17,719.969766280341
Rhône,2021-12-18,731.9097401936301
Rhône,2021-12-19,739.7453480742261
Rhône,2021-12-20,765.8107375545761
Rhône,2021-12-21,821.885972183059
Rhône,2021-12-22,900.9882993585995
Rhône,2021-12-23,991.1777451679085
Rhône,2021-12-24,1048.4256558057323
Rhône,2021-12-25,1000.1860290578455
Rhône,2021-12-26,1034.4601506035817
Rhône,2021-12-27,1293.3550313930698
Rhône,2021-12-28,1493.0830771658127
Rhône,2021-12-29,1694.6234404075367
Rhône,2021-12-30,1902.400307880756
Rhône,2021-12-31,2076.9158194526694
Rhône,2022-01-01,2109.750747714215
Rhône,2022-01-02,2182.40335683838
Rhône,2022-01-03,2485.9132294377923
Rhône,2022-01-04,2750.831400638895
Rhône,2022-01-05,2910.102124089377
Rhône,2022-01-06,3038.8832712969956
Rhône,2022-01-07,3238.5580136147687
Rhône,2022-01-08,3538.496554731188
Rhône,2022-01-09,3575.649062845306
Rhône,2022-01-10,3679.9639242216763
Rhône,2022-01-11,3721.7538329181884
Rhône,2022-01-12,3857.624339636822
Rhône,2022-01-13,3949.7327098250526
Rhône,2022-01-14,4050.63615008334
Rhône,2022-01-15,4145.356389565102
Rhône,2022-01-16,4198.340023805323
Rhône,2022-01-17,4345.457559522636
Rhône,2022-01-18,4480.261997141869
Rhône,2022-01-19,4570.984477500878
Rhône,2022-01-20,4642.677624435583
Rhône,2022-01-21,4661.973475134738
Rhône,2022-01-22,4650.033501221449
Rhône,2022-01-23,4627.646050134032
Rhône,2022-01-24,4531.006886273348
Rhône,2022-01-25,4336.076151447908
Rhône,2022-01-26,4129.951691078761
Rhône,2022-01-27,3911.940560251294
Rhône,2022-01-28,3706.2425275219066
Rhône,2022-01-29,3569.9988966184824
Rhône,2022-01-30,3501.8237777118
Rhône,2022-01-31,3173.2079778214984
Rhône,2022-02-01,2937.233582669128
Rhône,2022-02-02,2720.768252035792
Rhône,2022-02-03,2523.172344461851
Rhône,2022-02-04,2329.574196010663
Rhône,2022-02-05,2193.2239581972985
Rhône,2022-02-06,2136.0293510144447
Rhône,2022-02-07,1873.989566381724
Rhône,2022-02-08,1687.6939912614314
Rhône,2022-02-09,1516.5365973526307
Rhône,2022-02-10,1378.4273455252549
Rhône,2022-02-11,1256.7355578286517
Rhône,2022-02-12,1181.1512586811339
Rhône,2022-02-13,1144.638392026656
Rhône,2022-02-14,975.5598328616866
Rhône,2022-02-15,875.1361236981296
Rhône,2022-02-16,775.5119663591236
Rhône,2022-02-17,698.968205022145
Rhône,2022-02-18,633.7247761388151
Rhône,2022-02-19,591.6683501674528
Rhône,2022-02-20,577.1165069606317
Rhône,2022-02-21,524.6126038151415
Rhône,2022-02-22,486.07420587180195
Rhône,2022-02-23,456.011057268699
Rhône,2022-02-24,430.6919161579296
