jour,taux_posiv_glissant
2021-03-04,6.185817686096973
2021-03-05,6.182736282899765
2021-03-06,6.212923746798993
2021-03-07,6.217275044481464
2021-03-08,6.238797758689105
2021-03-09,6.2592234035727365
2021-03-10,6.340281966400076
2021-03-11,6.3396566449054035
2021-03-12,6.347344268911693
2021-03-13,6.406004923601085
2021-03-14,6.4303494172928435
2021-03-15,6.644638142731425
2021-03-16,6.722002408394976
2021-03-17,6.829064334206553
2021-03-18,6.890719597319469
2021-03-19,6.935764667204639
2021-03-20,6.9756878543894185
2021-03-21,6.990382575463709
2021-03-22,7.065861349740911
2021-03-23,7.1074821259498755
2021-03-24,7.145099968735055
2021-03-25,7.170672332673687
2021-03-26,7.179507049231559
2021-03-27,7.1720303885456635
2021-03-28,7.167490119498579
2021-03-29,7.125453607583471
2021-03-30,7.0350648162535085
2021-03-31,6.931782035387426
2021-04-01,6.795892016250271
2021-04-02,6.696363350840917
2021-04-03,6.568587775437951
2021-04-04,6.558571473157544
2021-04-05,6.360841663136164
2021-04-06,6.744396622345657
2021-04-07,6.933875288046143
2021-04-08,7.313404715410185
2021-04-09,7.727546176163765
2021-04-10,8.05062222102096
2021-04-11,8.074924719053906
2021-04-12,8.322608718855001
2021-04-13,8.337055704429702
2021-04-14,8.399190233747039
2021-04-15,8.490986628047231
2021-04-16,8.580427126640624
2021-04-17,8.599533243191566
2021-04-18,8.608003096028249
2021-04-19,8.624084176611902
2021-04-20,8.647913346168476
2021-04-21,8.705684984410203
2021-04-22,8.728395102149253
2021-04-23,8.706835049232312
2021-04-24,8.670455005757734
2021-04-25,8.636207561830869
2021-04-26,8.33572053521228
2021-04-27,7.984039724380318
2021-04-28,7.684059315885472
2021-04-29,7.1654388428684195
2021-04-30,6.608079594077434
2021-05-01,6.446972338757696
2021-05-02,6.416609276340226
2021-05-03,5.9707228911145025
2021-05-04,5.6348977974324415
2021-05-05,5.334419174291904
2021-05-06,5.018601336060034
2021-05-07,4.742427611434741
2021-05-08,4.708612018235417
2021-05-09,4.679739819329952
2021-05-10,4.372428048452696
2021-05-11,4.09299082000106
2021-05-12,3.8795696863919917
2021-05-13,3.8830174333849525
2021-05-14,3.949797876491217
2021-05-15,3.9197102782533
2021-05-16,3.900684758875202
2021-05-17,3.8015960934144193
2021-05-18,3.8270104344904854
2021-05-19,3.8248451046514447
2021-05-20,3.666006117683103
2021-05-21,3.4660572762826103
2021-05-22,3.3981210075056762
2021-05-23,3.379105790191454
2021-05-24,3.206868407384447
