vaccin,jour,n_dose1,n_dose2,n_dose3,n_cum_dose1,n_cum_dose2,n_cum_dose3,nom_vaccin,dose1_glissant,dose2_glissant,doses_1_2_glissant,doses_1_2
2,2021-08-30,18182,37790,352,5032970,3927602,12780,Moderna,23539,41680,65219,55972
3,2021-08-30,60,590,0,4378312,3397982,2651,AstraZeneca,86,670,756,650
4,2021-08-30,1835,13,0,1012458,2321,65,Janssen,2510,12,2522,1848
0,2021-08-30,115090,324567,4577,48516632,39020862,136955,Tous vaccins,118135,301928,420063,439657
1,2021-08-31,96714,276332,9076,38189606,31969289,130535,Pfizer/BioNTech,87961,253359,341320,373046
2,2021-08-31,27842,57475,840,5060812,3985077,13620,Moderna,22981,41884,64865,85317
3,2021-08-31,78,710,7,4378390,3398692,2658,AstraZeneca,84,634,718,788
4,2021-08-31,2329,12,0,1014787,2333,65,Janssen,2343,12,2355,2341
0,2021-08-31,126963,334529,9923,48643595,39355391,146878,Tous vaccins,113369,295890,409259,461492
1,2021-09-01,92853,244674,20500,38282459,32213963,151035,Pfizer/BioNTech,84164,244565,328729,337527
2,2021-09-01,21091,39773,1254,5081903,4024850,14874,Moderna,22313,41364,63677,60864
3,2021-09-01,69,467,4,4378459,3399159,2662,AstraZeneca,81,582,663,536
4,2021-09-01,1887,23,1,1016674,2356,66,Janssen,2135,13,2148,1910
0,2021-09-01,115900,284937,21759,48759495,39640328,168637,Tous vaccins,108693,286524,395217,400837
1,2021-09-02,73761,197843,23780,38356220,32411806,174815,Pfizer/BioNTech,79700,232051,311751,271604
2,2021-09-02,24974,48568,1892,5106877,4073418,16766,Moderna,21290,40352,61642,73542
3,2021-09-02,63,624,20,4378522,3399783,2682,AstraZeneca,72,546,618,687
4,2021-09-02,2146,20,6,1018820,2376,72,Janssen,1939,14,1953,2166
0,2021-09-02,100944,247055,25698,48860439,39887383,194335,Tous vaccins,103001,272962,375963,347999
1,2021-09-03,76809,227314,26397,38433029,32639120,201212,Pfizer/BioNTech,75571,218716,294287,304123
2,2021-09-03,32839,64351,2840,5139716,4137769,19606,Moderna,20737,40200,60937,97190
3,2021-09-03,76,586,16,4378598,3400369,2698,AstraZeneca,63,493,556,662
