jour,taux_incid_glissant
2021-01-31,200.6496461781752
2021-02-01,200.92976241747468
2021-02-02,201.74925141542514
2021-02-03,201.13835961695298
2021-02-04,198.6396631632022
2021-02-05,196.2676150091347
2021-02-06,195.09500075206742
2021-02-07,194.29935143405731
2021-02-08,187.8134685102785
2021-02-09,183.41653754127523
2021-02-10,179.76012663041993
2021-02-11,174.9594110824265
2021-02-12,170.59227971334872
2021-02-13,168.58825661836076
2021-02-14,168.556967038439
2021-02-15,167.49014136110716
2021-02-16,167.39180268135308
2021-02-17,169.50757427606155
2021-02-18,173.9909240848487
2021-02-19,179.54705949095282
2021-02-20,182.19177398433837
2021-02-21,182.848855162695
2021-02-22,189.08293146710358
2021-02-23,192.7214626180036
2021-02-24,194.75379533292076
2021-02-25,195.53603483096438
2021-02-26,194.55264803342382
2021-02-27,194.68078631310334
2021-02-28,194.55562799341638
2021-03-01,191.97647261986685
2021-03-02,190.44179322370508
2021-03-03,189.55525512592232
2021-03-04,188.76556572789733
2021-03-05,189.22149960675705
2021-03-06,190.83216798272875
2021-03-07,191.12867400198718
2021-03-08,193.96708589488833
2021-03-09,197.6771360856095
2021-03-10,202.67005905312217
2021-03-11,208.8177165177469
2021-03-12,215.57328582085123
2021-03-13,220.5334292284459
2021-03-14,222.16942726435425
2021-03-15,236.25271818913194
2021-03-16,246.85690582261088
2021-03-17,256.7429230978859
2021-03-18,266.55295139335107
2021-03-19,276.6162762881827
2021-03-20,282.13814215437253
2021-03-21,283.2764868715255
2021-03-22,295.4347236411177
2021-03-23,306.3562770138029
2021-03-24,316.334673048847
2021-03-25,326.7973125826799
2021-03-26,336.8278579175935
2021-03-27,343.3807899412046
2021-03-28,343.5506476607798
2021-03-29,352.77511381770944
2021-03-30,360.9193444773407
2021-03-31,364.6338646080507
2021-04-01,366.53954902328456
2021-04-02,364.69346380790165
2021-04-03,363.4865800109201
2021-04-04,363.2034838116281
2021-04-05,296.857654537559
2021-04-06,312.1880587192176
2021-04-07,311.4147591011517
2021-04-08,307.69129909046404
2021-04-09,306.60957361316946
2021-04-10,306.2236687941346
2021-04-11,306.3369072738514
2021-04-12,362.48978339341306
2021-04-13,333.43517346607865
2021-04-14,322.44508101356485
2021-04-15,314.1384425343398
2021-04-16,305.6634363155357
2021-04-17,300.2086195491782
2021-04-18,299.5962377707098
2021-04-19,292.2610662490551
2021-04-20,286.9150180224255
2021-04-21,283.1423886718609
2021-04-22,278.04963704459783
2021-04-23,272.2148753791906
2021-04-24,267.90138328997864
2021-04-25,266.4516327536045
2021-04-26,255.8027457202373
2021-04-27,246.95077456237613
2021-04-28,236.39426628877794
2021-04-29,226.39948047377493
2021-04-30,217.91702435498954
2021-05-01,197.78739460533376
2021-05-02,197.69650582556102
2021-05-03,189.820471565259
2021-05-04,182.96358362240807
2021-05-05,176.28847323910253
2021-05-06,170.09313641459707
2021-05-07,163.38375649137723
2021-05-08,163.44484567122444
2021-05-09,162.43165927375844
2021-05-10,154.92812001252477
2021-05-11,149.5954816058617
2021-05-12,147.24280319174574
2021-05-13,126.24153514426992
2021-05-14,125.12256016706847
2021-05-15,132.39813248887228
2021-05-16,131.54735391100007
2021-05-17,125.425026106312
2021-05-18,123.74134871052289
2021-05-19,120.19221635939928
2021-05-20,134.34255638400927
2021-05-21,127.02824458230236
2021-05-22,125.34903712650205
2021-05-23,124.55189782849571
2021-05-24,100.28310364919196
2021-05-25,101.82225298534254
2021-05-26,99.12091925209857
2021-05-27,97.01259755737149
2021-05-28,94.18461552444427
2021-05-29,92.0301044498327
2021-05-30,91.60695013089102
2021-05-31,103.93057468006963
2021-06-01,91.14803629203877
2021-06-02,84.79029164793948
2021-06-03,78.64263418331477
2021-06-04,72.69910397817955
2021-06-05,69.12464196711927
2021-06-06,68.23959384933278
2021-06-07,61.54958366606449
2021-06-08,57.17649237700159
2021-06-09,52.159729729548516
2021-06-10,47.40967350142841
2021-06-11,43.45228663132583
2021-06-12,40.83290179787691
2021-06-13,40.24584967934513
2021-06-14,35.302096051709455
2021-06-15,32.064369519807016
2021-06-16,29.5179937061755
2021-06-17,27.54377021111303
2021-06-18,25.505477576210797
2021-06-19,24.39246251899445
2021-06-20,24.21217493944535
2021-06-21,22.3496999441034
2021-06-22,21.20241534697276
2021-06-23,20.40676602896268
2021-06-24,19.642406290874344
2021-06-25,18.961485432577323
2021-06-26,18.766298053065487
2021-06-27,18.831857172901525
2021-06-28,19.05237421235001
2021-06-29,19.47403855129543
2021-06-30,20.673472448295644
2021-07-01,21.7522179655977
2021-07-02,23.255607781837725
2021-07-03,24.553380358591994
2021-07-04,25.04060381737345
2021-07-05,27.6301890508969
2021-07-06,29.88005884526997
2021-07-07,32.46815409879715
2021-07-08,35.203757371955405
2021-07-09,38.04514922484908
2021-07-10,40.02980257988546
2021-07-11,40.75840279806324
2021-07-12,46.62147408339969
2021-07-13,53.9298259651215
2021-07-14,51.04522469233589
2021-07-15,64.23899755933827
2021-07-16,75.59115515094652
2021-07-17,84.99292892743269
2021-07-18,88.02354823985311
2021-07-19,109.31238242660973
2021-07-20,127.11317344208996
2021-07-21,156.70864610807166
2021-07-22,167.543780640973
2021-07-23,182.21114372428994
2021-07-24,191.2970417415661
2021-07-25,193.3547041164199
2021-07-26,208.77599707785126
2021-07-27,216.08434895957302
2021-07-28,219.84654845016377
2021-07-29,224.94525999741188
2021-07-30,227.41266687124093
2021-07-31,227.48865585105085
2021-08-01,227.51696547098007
2021-08-02,229.09038434704496
2021-08-03,230.56844450334833
2021-08-04,231.70082930051623
2021-08-05,233.21911891671897
2021-08-06,235.6090468307418
2021-08-07,237.46407192610235
2021-08-08,238.4921581235311
2021-08-09,241.26054095660737
2021-08-10,244.22262118919923
2021-08-11,246.07168636457473
2021-08-12,248.10848901948066
2021-08-13,247.29049000152648
2021-08-14,247.88052208005084
2021-08-15,247.58401606079235
2021-08-16,244.77987370780554
2021-08-17,239.80632048024438
2021-08-18,233.85236041513525
2021-08-19,226.96716285235513
2021-08-20,222.74604952291213
2021-08-21,218.70224381302566
2021-08-22,217.79782595528764
2021-08-23,211.05864643214233
2021-08-24,205.22537474673132
2021-08-25,199.21032550177497
2021-08-26,193.10885741703473
2021-08-27,186.21025003428818
2021-08-28,181.18752746684999
2021-08-29,179.67370779063606
2021-08-30,168.87135281765273
2021-08-31,161.40506305632593
2021-09-01,155.9070368700765
2021-09-02,149.02332928729265
2021-09-03,142.03979304475848
2021-09-04,138.64859857323984
2021-09-05,137.49833401611664
2021-09-06,128.82665043780455
2021-09-07,121.88483363516603
2021-09-08,114.80891863286288
2021-09-09,110.0186329448434
2021-09-10,105.11063883711829
2021-09-11,101.05491328726167
2021-09-12,99.7228711705931
2021-09-13,92.51136798862908
2021-09-14,87.59592398092259
2021-09-15,83.66833671074548
2021-09-16,79.6215510408665
2021-09-17,76.08880846970189
2021-09-18,73.83148877534745
2021-09-19,73.11629837713615
2021-09-20,68.84452572781984
2021-09-21,65.8481759553137
2021-09-22,63.00231416243122
2021-09-23,61.05789026729421
2021-09-24,59.086646732224295
2021-09-25,57.836553515350786
2021-09-26,57.464058516282385
2021-09-27,55.5702939410187
2021-09-28,54.33361054411164
2021-09-29,53.00901832742444
2021-09-30,51.5965172909571
2021-10-01,49.850260735324504
2021-10-02,48.54354827859259
2021-10-03,48.384120418991316
2021-10-04,46.439696523854316
2021-10-05,45.29986182670504
2021-10-06,44.329884849130956
2021-10-07,43.82478163039422
2021-10-08,43.49847601121031
2021-10-09,43.84713133033832
2021-10-10,43.79051209047993
2021-10-11,44.431203488877564
2021-10-12,45.2119530069249
2021-10-13,46.26983880427913
2021-10-14,48.78343505799263
2021-10-15,48.771515218022444
2021-10-16,48.47947913875282
2021-10-17,48.45563945881245
2021-10-18,48.837074337858475
2021-10-19,49.690832875723224
2021-10-20,51.22849223187754
2021-10-21,51.18677279198187
2021-10-22,53.61097024591896
2021-10-23,55.24398832183479
2021-10-24,55.35126688156648
2021-10-25,56.246744859326895
2021-10-26,56.84869677782141
2021-10-27,57.26440119678173
2021-10-28,57.41190921641281
2021-10-29,59.24905455181812
2021-10-30,61.373766026504214
2021-10-31,62.24540432432425
2021-11-01,54.14289310458863
