date,incid_dchosp,deces_glissant
2021-07-31,43,36
2021-08-01,18,38
2021-08-02,51,38
2021-08-03,57,43
2021-08-04,53,44
2021-08-05,52,48
2021-08-06,60,48
2021-08-07,32,46
2021-08-08,30,48
2021-08-09,68,50
2021-08-10,68,52
2021-08-11,54,52
2021-08-12,77,56
2021-08-13,74,58
2021-08-14,51,60
2021-08-15,44,62
2021-08-16,97,66
2021-08-17,111,73
2021-08-18,112,81
2021-08-19,127,88
2021-08-20,83,89
2021-08-21,146,103
2021-08-22,96,110
2021-08-23,108,112
2021-08-24,153,118
2021-08-25,93,115
2021-08-26,110,113
2021-08-27,95,114
2021-08-28,75,104
2021-08-29,53,98
2021-08-30,98,97
2021-08-31,136,94
2021-09-01,85,93
2021-09-02,104,92
2021-09-03,95,92
2021-09-04,85,94
2021-09-05,49,93
2021-09-06,103,94
2021-09-07,120,92
2021-09-08,100,94
2021-09-09,104,94
2021-09-10,81,92
2021-09-11,47,86
2021-09-12,29,83
2021-09-13,86,81
2021-09-14,94,77
2021-09-15,79,74
2021-09-16,65,69
2021-09-17,66,67
2021-09-18,42,66
2021-09-19,28,66
2021-09-20,91,66
2021-09-21,152,75
2021-09-22,59,72
2021-09-23,63,72
2021-09-24,49,69
2021-09-25,29,67
2021-09-26,14,65
2021-09-27,74,63
2021-09-28,60,50
2021-09-29,42,47
2021-09-30,56,46
2021-10-01,47,46
2021-10-02,31,46
2021-10-03,9,46
2021-10-04,50,42
2021-10-05,62,42
2021-10-06,34,41
2021-10-07,35,38
2021-10-08,38,37
2021-10-09,17,35
2021-10-10,8,35
2021-10-11,30,32
2021-10-12,53,31
2021-10-13,27,30
2021-10-14,38,30
2021-10-15,34,30
2021-10-16,15,29
2021-10-17,5,29
2021-10-18,41,30
2021-10-19,39,28
2021-10-20,21,28
2021-10-21,35,27
2021-10-22,30,27
2021-10-23,23,28
2021-10-24,4,28
2021-10-25,42,28
2021-10-26,38,28
2021-10-27,34,29
2021-10-28,33,29
2021-10-29,27,29
2021-10-30,22,29
2021-10-31,12,30
2021-11-01,6,25
2021-11-02,75,30
2021-11-03,39,31
2021-11-04,47,33
2021-11-05,28,33
2021-11-06,25,33
2021-11-07,10,33
2021-11-08,55,40
2021-11-09,49,36
2021-11-10,33,35
2021-11-11,17,31
2021-11-12,48,34
2021-11-13,20,33
2021-11-14,17,34
2021-11-15,70,36
2021-11-16,48,36
2021-11-17,50,39
2021-11-18,57,44
2021-11-19,57,46
2021-11-20,24,46
2021-11-21,15,46
2021-11-22,94,49
2021-11-23,84,54
2021-11-24,80,59
2021-11-25,73,61
2021-11-26,60,61
2021-11-27,34,63
2021-11-28,23,64
2021-11-29,103,65
2021-11-30,114,70
2021-12-01,93,71
2021-12-02,103,76
2021-12-03,114,83
2021-12-04,49,86
2021-12-05,29,86
2021-12-06,192,99
2021-12-07,168,107
2021-12-08,129,112
2021-12-09,130,116
2021-12-10,142,120
2021-12-11,66,122
2021-12-12,48,125
2021-12-13,231,131
2021-12-14,158,129
2021-12-15,153,133
2021-12-16,166,138
2021-12-17,163,141
2021-12-18,86,144
2021-12-19,75,147
2021-12-20,225,147
2021-12-21,212,154
2021-12-22,170,157
2021-12-23,179,159
2021-12-24,169,159
2021-12-25,84,159
2021-12-26,96,162
2021-12-27,256,167
2021-12-28,242,171
2021-12-29,185,173
2021-12-30,180,173
2021-12-31,189,176
2022-01-01,111,180
2022-01-02,91,179
2022-01-03,272,181
2022-01-04,297,189
2022-01-05,246,198
2022-01-06,206,202
2022-01-07,193,202
2022-01-08,143,207
2022-01-09,91,207
2022-01-10,281,208
2022-01-11,270,204
2022-01-12,249,205
2022-01-13,227,208
2022-01-14,196,208
2022-01-15,148,209
2022-01-16,98,210
2022-01-17,298,212
2022-01-18,289,215
2022-01-19,232,213
2022-01-20,251,216
2022-01-21,235,222
2022-01-22,167,224
2022-01-23,115,227
2022-01-24,393,240
2022-01-25,364,251
2022-01-26,258,255
2022-01-27,273,258
2022-01-28,264,262
2022-01-29,178,264
2022-01-30,127,265
2022-01-31,348,259
2022-02-01,382,261
2022-02-02,277,264
2022-02-03,280,265
2022-02-04,355,278
