dep,jour,taux_incid_glissant,tranche_age
69,2020-09-06,99.5237975257628,80-89
69,2020-09-06,316.6994778738338,+90
69,2020-09-06,139.33523129168663,Tous âges
69,2020-09-07,45.616969512658706,0-9
69,2020-09-07,131.7381145707326,10-19
69,2020-09-07,328.7431465094883,20-29
69,2020-09-07,189.22585513275132,30-39
69,2020-09-07,142.67031268576864,40-49
69,2020-09-07,114.34275602341305,50-59
69,2020-09-07,68.59016539709803,60-69
69,2020-09-07,74.57230589267436,70-79
69,2020-09-07,114.64133639043563,80-89
69,2020-09-07,329.53864589574596,+90
69,2020-09-07,147.650570267013,Tous âges
69,2020-09-08,50.263142333392466,0-9
69,2020-09-08,151.62311299650355,10-19
69,2020-09-08,371.3787764322206,20-29
69,2020-09-08,190.3987426645659,30-39
69,2020-09-08,146.49183891842316,40-49
69,2020-09-08,128.40872997867416,50-59
69,2020-09-08,71.37838350267111,60-69
69,2020-09-08,77.49671004532826,70-79
69,2020-09-08,124.71969563355086,80-89
69,2020-09-08,363.7764272875118,+90
69,2020-09-08,160.49670291479282,Tous âges
69,2020-09-09,59.13310862752055,0-9
69,2020-09-09,168.60821581851624,10-19
69,2020-09-09,408.03045829562194,20-29
69,2020-09-09,198.21799287666306,30-39
69,2020-09-09,157.5318035905362,40-49
69,2020-09-09,136.12232859930126,50-59
69,2020-09-09,79.74303781939038,60-69
69,2020-09-09,75.30340693083785,70-79
69,2020-09-09,131.01867016049786,80-89
69,2020-09-09,342.37781391765816,+90
69,2020-09-09,173.07631828772247,Tous âges
69,2020-09-10,69.27021296366692,0-9
69,2020-09-10,178.55071503140172,10-19
69,2020-09-10,405.0384842659566,20-29
69,2020-09-10,196.26318032363878,30-39
69,2020-09-10,167.29792618509777,40-49
69,2020-09-10,148.37333817323835,50-59
69,2020-09-10,93.68412834725584,60-69
69,2020-09-10,78.22781108349174,70-79
69,2020-09-10,125.97949053894027,80-89
69,2020-09-10,299.58058717795086,+90
69,2020-09-10,178.40666378472653,Tous âges
69,2020-09-11,75.18352382641898,0-9
69,2020-09-11,193.46446385072994,10-19
69,2020-09-11,412.8924160938283,20-29
69,2020-09-11,194.69933028121932,30-39
69,2020-09-11,166.87331215924723,40-49
69,2020-09-11,158.80938336585146,50-59
69,2020-09-11,94.24177196837046,60-69
69,2020-09-11,76.76560900716478,70-79
69,2020-09-11,115.90113129582504,80-89
69,2020-09-11,273.9022511341265,+90
69,2020-09-11,182.35111945250955,Tous âges
69,2020-09-12,74.33876513174012,0-9
69,2020-09-12,200.50706745985718,10-19
69,2020-09-12,420.7463479217,20-29
69,2020-09-12,194.69933028121932,30-39
69,2020-09-12,166.02408410754623,40-49
69,2020-09-12,162.8930532238305,50-59
69,2020-09-12,95.35705921059969,60-69
69,2020-09-12,76.76560900716478,70-79
69,2020-09-12,127.23928544432967,80-89
69,2020-09-12,282.46169648206796,+90
69,2020-09-12,185.33611293083183,Tous âges
69,2020-09-13,75.18352382641898,0-9
69,2020-09-13,201.33560906093095,10-19
69,2020-09-13,418.87636415315916,20-29
69,2020-09-13,195.8722178130339,30-39
69,2020-09-13,164.75024202999472,40-49
69,2020-09-13,164.25427650982348,50-59
69,2020-09-13,96.47234645282892,60-69
69,2020-09-13,79.69001315981869,70-79
69,2020-09-13,131.01867016049786,80-89
69,2020-09-13,291.0211418300094,+90
69,2020-09-13,186.02905784544237,Tous âges
69,2020-09-14,69.69259231100636,0-9
69,2020-09-14,206.3068586673737,10-19
69,2020-09-14,426.7302959810309,20-29
69,2020-09-14,196.65414283424363,30-39
69,2020-09-14,171.11945241775226,40-49
69,2020-09-14,169.24542855846454,50-59
69,2020-09-14,112.64401146515286,60-69
69,2020-09-14,86.26992250328995,70-79
69,2020-09-14,148.6557988359495,80-89
69,2020-09-14,333.81836856971665,+90
69,2020-09-14,191.89243789214686,Tous âges
69,2020-09-15,75.18352382641898,0-9
69,2020-09-15,202.57842146254166,10-19
69,2020-09-15,400.1765264677503,20-29
69,2020-09-15,204.47339304634076,30-39
69,2020-09-15,183.85787319326732,40-49
69,2020-09-15,175.5978038930986,50-59
69,2020-09-15,121.00866578187211,60-69
69,2020-09-15,91.38762977043427,70-79
69,2020-09-15,156.21456826828592,80-89
69,2020-09-15,291.0211418300094,+90
69,2020-09-15,192.69198971669746,Tous âges
69,2020-09-16,74.33876513174012,0-9
69,2020-09-16,206.3068586673737,10-19
69,2020-09-16,405.0384842659566,20-29
69,2020-09-16,210.33783070541364,30-39
69,2020-09-16,189.37785552932385,40-49
69,2020-09-16,186.94133127637372,50-59
69,2020-09-16,129.930963719706,60-69
69,2020-09-16,103.08524638104986,70-79
69,2020-09-16,151.1753886467283,80-89
69,2020-09-16,286.7414191560387,+90
69,2020-09-16,198.02233521370155,Tous âges
69,2020-09-17,67.15831622696977,0-9
69,2020-09-17,224.53477389099706,10-19
69,2020-09-17,420.7463479217,20-29
69,2020-09-17,213.8564933008574,30-39
69,2020-09-17,201.6916622789884,40-49
69,2020-09-17,187.3950723717047,50-59
69,2020-09-17,130.48860734082064,60-69
69,2020-09-17,116.2450650679924,70-79
69,2020-09-17,161.25374788984354,80-89
69,2020-09-17,303.86030985192156,+90
69,2020-09-17,205.43151545453722,Tous âges
69,2020-09-18,62.93452275357544,0-9
69,2020-09-18,221.6348782872388,10-19
69,2020-09-18,434.58422780890265,20-29
69,2020-09-18,217.37515589630112,30-39
69,2020-09-18,209.33471474429743,40-49
69,2020-09-18,193.29370661100776,50-59
69,2020-09-18,134.94975630973755,60-69
69,2020-09-18,120.63167129697324,70-79
69,2020-09-18,178.89087656529517,80-89
69,2020-09-18,303.86030985192156,+90
69,2020-09-18,210.12221949190084,Tous âges
69,2020-09-19,64.20166079559374,0-9
69,2020-09-19,220.80633668616503,10-19
69,2020-09-19,430.8442602718209,20-29
69,2020-09-19,221.28478100234972,30-39
69,2020-09-19,213.15624097695195,40-49
69,2020-09-19,196.0161531829938,50-59
69,2020-09-19,135.5073999308522,60-69
69,2020-09-19,115.51396402982891,70-79
69,2020-09-19,168.81251732217996,80-89
69,2020-09-19,282.46169648206796,+90
69,2020-09-19,209.96230912699068,Tous âges
69,2020-09-20,63.7792814482543,0-9
69,2020-09-20,220.3920658856281,10-19
69,2020-09-20,434.2102310551944,20-29
69,2020-09-20,221.67574351295454,30-39
69,2020-09-20,215.27931110620446,40-49
69,2020-09-20,195.56241208766278,50-59
69,2020-09-20,136.62268717308143,60-69
69,2020-09-20,113.3206609153385,70-79
69,2020-09-20,162.51354279523295,80-89
69,2020-09-20,273.9022511341265,+90
69,2020-09-20,210.17552294687087,Tous âges
69,2020-09-21,62.93452275357544,0-9
69,2020-09-21,232.82018990173495,10-19
69,2020-09-21,447.3001174349807,20-29
69,2020-09-21,231.05884376747113,30-39
69,2020-09-21,233.96232824362653,40-49
69,2020-09-21,209.1746449475929,50-59
69,2020-09-21,139.96854889976913,60-69
69,2020-09-21,119.1694692206463,70-79
69,2020-09-21,161.25374788984354,80-89
69,2020-09-21,209.7064110245656,+90
69,2020-09-21,218.65077228710732,Tous âges
69,2020-09-22,57.443591238162824,0-9
69,2020-09-22,255.19081313072732,10-19
69,2020-09-22,468.2439356426386,20-29
69,2020-09-22,236.53231891593916,30-39
69,2020-09-22,234.81155629532756,40-49
69,2020-09-22,219.15694904487498,50-59
69,2020-09-22,134.94975630973755,60-69
69,2020-09-22,122.82497441146367,70-79
69,2020-09-22,148.6557988359495,80-89
69,2020-09-22,222.54557904647777,+90
69,2020-09-22,225.36700761333248,Tous âges
69,2020-09-23,50.6855216807319,0-9
69,2020-09-23,265.5475831441497,10-19
69,2020-09-23,454.7800525091442,20-29
69,2020-09-23,235.75039389472946,30-39
